"Harga","Fasilitas","0utcome"
"802000","0","2"
"913000","0","2"
"813750","0","2"
"850000","0","2"
"700000","0","2"
"2600000","3","2"
"600000","0","1"
"1875000","2","1"
"1350000","2","1"
"1275000","1","2"
"2525000","2","2"
"1525000","2","2"
"2375000","3","2"
"2425000","3","2"
"2175000","3","2"
"800000","2","0"
"650000","0","1"
"913000","0","2"
"813750","0","2"
"850000","0","2"
"700000","0","2"
"2600000","2","2"
"600000","0","1"
"700000","2","0"
"1000000","0","2"
"850000","0","2"
"1400000","2","1"
"1650000","2","2"
"750000","0","2"
"750000","1","1"
"800000","1","1"
"950000","0","2"
"550000","0","1"
"1100000","3","0"
"900000","2","1"
"600000","0","1"
"800000","0","2"
"1000000","0","2"
"841000","0","2"
"700000","0","2"
"802000","0","2"
"850000","0","2"
"850000","1","1"
"950000","1","1"
"1100000","1","2"
"875000","1","0"
"1100000","2","1"
"1100000","1","2"
"950000","1","1"
"1000000","3","0"
"975000","1","1"
"900000","1","1"
"1000000","0","2"
"1000000","0","2"
"850000","0","2"
"1715000","3","1"
"1995000","3","1"
"2125000","3","2"
"2215000","3","2"
"825000","0","2"
"1025000","1","2"
"1125000","1","2"
"1225000","2","1"
"1225000","1","2"
"500000","0","1"
"2525000","3","2"
"1022500","1","2"
"1127000","1","2"
"927500","1","1"
"842000","0","2"
"1355000","1","2"
"1072000","0","2"
"1025000","0","2"
"1545000","1","2"
"835000","0","2"
"1592000","1","2"
"1450000","0","2"
"1022500","1","2"
"804000","0","2"
"690000","0","1"
"775000","0","2"
"785000","0","2"
"2825000","3","2"
"750000","0","2"
"900000","3","0"
"1000000","3","0"
"500000","0","1"
"525000","0","1"
"1850000","3","1"
"400000","1","0"
"550000","0","1"
"650000","0","1"
"750000","0","2"
"550000","0","1"
"650000","0","1"
"550000","0","1"
"650000","0","1"
"1100000","0","2"
"750000","0","2"
"375000","0","0"
"650000","0","1"
"500000","0","1"
"500000","0","1"
"600000","0","1"
"600000","0","1"
"550000","0","1"
"802000","0","2"
"913000","0","2"
"813750","0","2"
"1000000","0","2"
"850000","0","2"
"800000","1","1"
"600000","0","1"
"950000","0","2"
"1400000","2","0"
"550000","0","1"
"750000","0","2"
"575000","0","1"
"600000","1","1"
"670000","0","1"
"650000","0","1"
"800000","0","2"
"800000","0","2"
"350000","0","0"
"900000","1","1"
"725000","0","2"
