"Nama Kost","Jenis Kost","Fasilitas Kamar","Fasilitas Umum","Harga","rating Krebersihan","rating Kenyamanan","rating Keamanan","rating Harga","rating Fasilitas kamar","rating Fasislitas Umum","Total Rating","Jarak Ke kampus"
"Kost Apik 251 Raya Candi Tipe B Sukun Malang 79Z7ER5F","putri","Kasur, Lemari baju, Bantal, cermin, ventilasi","KM.Luar, Ember mandi, Listrik, WiFi, Dapur, R.tamu, penjaga kost, Ember mandi","Rp. 802.000/bulan","4.5","4.5","4.5","4.5","4.5","4.5","4.5","1.2km ke UMM"
"Kost Apik Prasanjaya Tipe A Lowokwaru Malang S9MT44K1","putri","Kasur, Meja, Lemari Baju, Ventilasi, Kursi","KM.luar, bak mandi, Listrik, WiFi, Kulkas, Penjaga kos, R.Makan, R.Jemur","Rp. 913.000/bulan","5.0","5.0","5.0","4.7","5.0","5.0","5.0","694m ke UIN Malang"
"Kost Apik Ulfah MT Haryono Tipe A Lowokwaru Malang 474RPH3L","putri","Kasur, Meja, Lemari Baju, Bantal, Cermin","KM.luar, listrik, WiFi, R.Jemur, Jemuran","Rp. 813.750/bulan","5.0","5.0","5.0","4.9","5.0","4.8","5.0","751m ke Politeknik Negeri Malang"
"Kost Griya Prima Tipe A Lowokwaru Malang PK19T0B0","putra","kasur, meja, lemari baju, ventilasi, cermin","KM.luar, shower, listrik, WiFi, R.cuci, penjaga kost, R.jemur, dapur","Rp. 850.000/bulan","5.0","4.7","5.0","5.0","4.7","5.0","4.9","450m ke UIN Malang"
"Kost Sumbersari 227B Tipe A Lowokwaru Malang FVB503Q4","putri","kasur, Meja, Lemari Baju, Ventilasi, Bantal","KM.luar, Ember mandi, Shower, listrik, WiFi, Kulkas, R.cuci, Rtamu, R.jemur","Rp. 700.000/bulan","4.7","5.0","4.7","4.7","4.7","4.7","4.8","530m ke UB"
"Kost Kalila Boarding House Lowokwaru Malang 471KB","putri","AC, kasur, meja, TV, lemari baju, KM.dalam, shower, Air panas","Wifi, R.cuci, R.tamu, Mesin Cuci, Penjaga kost","Rp. 2.600.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1.8km ke UNMER Malang"
"Kost Muslim Pak Munawar Lowokwaru Malang RAG6Q588","putra","kasur, meja, lemari baju, ventilasi, jendela","KM.luar, listrik, Wifi, R.jemur, Dapur, Balkon, CCTV","Rp. 600.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","199m ke UIN Malang"
"Kost Singgahsini Rara Dwiga Tipe B Lowokwaru Malang SF55D5Q4","putra","AC, kasur, meja, lemari baju, ventilasi, KM.dalam, shower, air panas","Wifi, R.tamu, Penjaga Kos, R.Jemur, Dapur, parkir motor, parkir mobil, parkir sepeda","RP. 1.875.000/bulan","4.9","5.0","5.0","4.6","4.9","4.9","4.9","2.4km ke Universitas Islam Malang"
"Kost Feisya Tipe A Lowokwaru Malang 76D9XF0W","putri","AC, kasur, meja, lemari baju, ventilasi, KM.dalam, shower","Wifi, Kulkas, R.Cuci, Laundry, R.Tamu","Rp. 1.350.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1.2km ke Politeknik Negeri Malang"
"Kost Singgahsini Rembuksari 36 Tipe A Lowokwaru Malang J7U99NB7","putri","Kasur, meja, lemari baju, ventilasi, kursi, KM.dalam, shower","Wifi, R.jemur, dapur, parkir motor, parkir sepeda","Rp. 1.275.000/bulan","5.0","5.0","5.0","4.8","5.0","5.0","5.0","1.6km ke politeknik negeri malang"
"Kost Singgahsini Omah Tilam Tipe A Blimbing Malang ZY8JS668","Campur","AC, Kasur, Meja, TV, Lemari baju, KM.dalam, Wastafel, shower, air panas","Wifi, R.cuci, penjaga kost, R.jemur, Mushola, parkit mobil, parkir motor, parkir sepeda","Rp. 2.525.000/bulan","5.0","4.9","5.0","4.9","5.0","4.9","5.0","3.0km ke UM"
"Kost Singgahsini Hasna Muslimah Tipe B Lowokwaru Malang 835472HA","putri","AC, Kasur, Meja, Lemari baju, kursi, km.dalam, shower, air panas","Wifi, Kulkas, R.tamu, parkir mobil, parkir motor","Rp. 1.525.000/bulan","4.9","5.0","4.8","4.5","4.7","5.0","4.9","643m ke Universitas islam malang"
"Kost Singgahsini Kozroom Tipe C Brawijaya Malang 958421SK","putri","AC, kasur, meja, TV, lemari baju, KM.dalam, shower, air panas","Wifi, Dapur, KM.luar, Balkon, listrik, parkir motor, parkir mobil","Rp. 2.375.000/bulan","4.9","4.8","4.9","4.5","4.6","4.4","4.6","1.3km ke politeknik negeri malang"
"Kost Singgahsini Kozroom Tipe D Brawijaya Malang 534287SK","putri","AC, kasur, meja, tv, lemari baju, KM.dalam, shower, air panas","Wifi, dapur, KM.luar, nalkon, listrik, parkir mobil, parkir motor","Rp. 2.425.000/bulan","4.9","4.9","4.9","4.6","4.8","4.4","4.8","1.3km ke politeknik negeri malang"
"Kost Singgahsini Kozroom Tipe B Brawijaya Malang 172435SK","putri","AC, kasur, meja, TV, lemari baju, KM.dalam, shower, Air panas","WiFi, Dapur, KM.luar, balkon, listrik, parkir motor, parkir mobil","Rp. 2.175.000/bulan","4.9","4.7","4.9","4.5","4.7","4.5","4.6","1.3km ke politeknik negeri malang"
